Type1,Item,Description,ClientStockCode,ClientStockDescription,Lot,OnHand,Warehouse,Allocated,Pending,Available,Units
Finished Goods,742261,FV 20 CHR EP CA 750ml/12p,,Eva 20 CHR 12pk CA,W33265,13.67,Marlborough,0.00,0.00,13.67,Cases
Finished Goods,748959,FV 21 SAB EP UC 750ml/12p,737897,FV 21 SAB EP USA 750ml/12p,W37948,156.00,Marlborough,0.00,0.00,156.00,Cases
Finished Goods,766163,FV 22 CHR EP AN 750ml/6p,,EPCH22NZ,W39189,320.83,Marlborough,0.00,0.00,320.83,Cases
Finished Goods,747691,FV 22 CHR EP NZ 750ml/12p,,Eva 22 CHR 12pk,W39189,48.58,Marlborough,0.00,0.00,48.58,Cases
Finished Goods,747690,FV 22 CHR EP NZ 750ml/6p,,Eva 22 CHR 6pk,W39189,26.67,Marlborough,0.00,0.00,26.67,Cases
Finished Goods,769496,FV 22 CHR EP UK 750ml/6p,,EP WL Chard 22 - UK,W39189,111.33,Marlborough,0.00,0.00,111.33,Cases
Finished Goods,747609,FV 22 PIN EP NZ 750ml/12p,,Eva 22 PN 12pk,W39190,10.17,Marlborough,0.00,0.00,10.17,Cases
Finished Goods,747611,FV 22 PIN EP NZ 750ml/6p,,Eva 22 PN 6pk,W39190,12.00,Marlborough,0.00,0.00,12.00,Cases
Finished Goods,768013,FV 22 PIN EP US 750ml/12p,EP PN US 12 22 TTB,Celeste PN 22 USA,W39190,10.00,Marlborough,0.00,0.00,10.00,Cases
Finished Goods,770024,FV 22 RDB EP UK 750ml/6p Legacy Red,EP WL LR 22 - UK,EP WL LR 22 - UK,L51676-R51676,143.67,Marlborough,0.00,0.00,143.67,Cases
Finished Goods,765909,FV 22 SAB EP NZ 750ml/12p,,2022 SB NZ,W39186,86.33,Marlborough,0.00,0.00,86.33,Cases
Finished Goods,753031,FV 22 SAB EP NZ 750ml/6p,,Eva 22 SB 6pk,22EPSB-W39188,24.00,Marlborough,0.00,0.00,24.00,Cases
Finished Goods,742822,FV 22 SAB EP US 750ml/12p,,Eva 22 SB 12pk,W39186,99.25,Marlborough,0.00,0.00,99.25,Cases
Finished Goods,768616,FV 22 SAB EP US 750ml/12p,US Reconfig,EP 22 SB USA 12 Pallet R,W39186,395.00,Marlborough,0.00,0.00,395.00,Cases
Finished Goods,747253,FV 22 SAB EP X+ 750ml/12p,,Eva 22 SB 12pk,22EPSB-W39188,68.67,Marlborough,0.00,0.00,68.67,Cases
Finished Goods,766286,FV 23 PIN EP NZ 750ml/6p,,EPRPN23NZ6,23EPPN-W43531,288.83,Marlborough,3.17,0.00,285.67,Cases
Finished Goods,756598,FV 23 PIN EP X+ 750ml/12p,,23 EP PN - Cleanskin,23EPPN-W43531,122.42,Marlborough,0.00,0.00,122.42,Cases
Finished Goods,770089,FV 24 PIG EP UK 750ml/6p,EPWLPG24 (UK),EPWLPG24-UK,24CDPG-W52446,159.67,Marlborough,0.00,0.00,159.67,Cases
Finished Goods,770018,FV 24 PIN EP UK 750ml/6p,EP WL PN 24 (UK),EP WL PN 24 (UK),24EPPN-W48871,86.00,Marlborough,0.00,0.00,86.00,Cases
Finished Goods,765707,FV 24 PIN EP X+ 750ml/12p,2024 Eva Pinot Noir,24 EP PN - Cleanskin,24EPPN-W48871,478.75,Marlborough,0.00,0.00,478.75,Cases
Finished Goods,769809,FV 24 PIN GL UK 750ml/6p,Gatelands PN 24 (UK),Gatelands PN '24 (UK),24TPPN-W54111,809.83,Marlborough,0.00,0.00,809.83,Cases
Finished Goods,759292,FV 24 PRO EP NZ 750ml/12p,,Eva 24 Rosé,24EPRO-W48866,53.50,Marlborough,0.00,0.00,53.50,Cases
Finished Goods,759293,FV 24 PRO EP NZ 750ml/12p *back label only,,Eva 24 Rosé,24EPRO-W48866,9.50,Marlborough,0.00,0.00,9.50,Cases
Finished Goods,760706,FV 24 PRO EP NZ 750ml/6p,,Eva 24 Rosé,24EPRO-W48866,1.00,Marlborough,1.00,0.00,0.00,Cases
Finished Goods,764615,FV 24 PRO EP X+ 750ml/12p,,Eva 24 Rosé,24EPRO-W49991,82.75,Marlborough,0.00,0.00,82.75,Cases
Finished Goods,764951,FV 24 PRO EP X+ 750ml/12p,,Eva 24 Rosé,24EPRO-W49991,403.83,Marlborough,0.00,0.00,403.83,Cases
Finished Goods,766167,FV 24 SAB EP AN 750ml/6p,,EPSB24NZ,24SB COMM-W50300,436.50,Marlborough,1.00,0.00,435.50,Cases
Finished Goods,771637,FV 24 SAB EP CA 750ml/12p LCBO Updated,EPWLSB24LCBO New,EPWLSB24LCBO,24SB COMM-W50300,2.00,Marlborough,0.00,0.00,2.00,Cases
Finished Goods,763025,FV 24 SAB EP CC 750ml/12p,,2024 SB NZ - Reserve,24SBEP RES-W50299,523.58,Marlborough,0.00,0.00,523.58,Cases
Finished Goods,763026,FV 24 SAB EP CC 750ml/12p,,2024 SB NZ - Commercial,24SB COMM-W50300,644.75,Marlborough,0.00,0.00,644.75,Cases
Finished Goods,766287,FV 24 SAB EP NZ 750ml/6p,,EPRSBNZ6,24SBEP RES-W50299,408.17,Marlborough,0.17,0.00,408.00,Cases
Finished Goods,769494,FV 24 SAB EP UK 750ml/6p,,EPWLSB24-UK,24SB COMM-W50300,0.83,Marlborough,0.00,0.00,0.83,Cases
Finished Goods,769499,FV 24 SAB EP UK 750ml/6p,,EP Res SB 24 (UK),24SBEP RES-W50299,0.50,Marlborough,0.00,0.00,0.50,Cases
Finished Goods,774713,FV 25 PIN EP X+ 750ml/12p,2025 Eva Pinot Noir,25 EP PN - Cleanskin,25EPRESPN-W52457,553.25,Marlborough,0.00,0.00,553.25,Cases
Finished Goods,776561,FV 25 SAB EP CON 750ml/12p,,2025 EPWLSB,W52458,0.08,Marlborough,0.00,0.00,0.08,Cases
Finished Goods,770017,FV 25 SAB EP UK 375ml/12p,EP WL SB 25 - 375ml (UK),EP WL SB 25 - 375ml (UK),25STSB-W52448,146.50,Marlborough,0.00,0.00,146.50,Cases
Finished Goods,773329,FV 25 SAB EP X+ 750ml/12p,,2025 EPWLSB,25EPSB WL-W52455,546.75,Marlborough,0.00,0.00,546.75,Cases
Finished Goods,773329,FV 25 SAB EP X+ 750ml/12p,,2025 EPWLSB,25EPSB WL-W52458,"2,216.50",Marlborough,0.00,0.00,"2,216.50",Cases
Finished Goods,774175,FV 25 SAB EP X+ 750ml/12p,2025 SB NZ - Reserve,2025 SB NZ - Reserve,25EPSB-RES-W52454,402.75,Marlborough,0.00,0.00,402.75,Cases
Finished Goods,770088,FV 25 SAB EP X+ 750ml/12p Cleanskin EP WL 25,EP WL SB 25 CS,EP WL SB 25 CS,25STSB-W52448,418.92,Marlborough,0.33,0.00,418.58,Cases
Finished Goods,769808,FV 25 SAB GL UK 750ml/6p,Gatelands SB 25 (UK),Gatelands SB '25 (UK),25FLSB-W52441,"1,105.33",Marlborough,0.00,0.00,"1,105.33",Cases
Finished Goods,769868,FV 25 SAB SSK X+ 750ml/12p,SSSBX+,Sunstruck SC Cleanskin,25FLSB-W53964,35.00,Marlborough,0.00,0.00,35.00,Cases
Dry Goods,535783,FV CP SCR PR BLK EP Non Knurl CV6413355A,,,,"2,637.00",Marlborough,0.00,0.00,"2,637.00",Eaches
Dry Goods,561242,FV CP SCR PR BLK GLD EP Non Knurl NZ.EVA.BG-NK,EP Branded Black - NEW,EP Branded Black - NEW,,"53,100.00",Marlborough,0.00,0.00,"53,100.00",Eaches
Dry Goods,554489,FV CT BRG PR EP 06-SU WHI EPWLLWBurg6 VP146538,EPWLLWBurg6,Eva Pemper WL 6x750 LW Burg,,"1,037.00",Marlborough,0.00,0.00,"1,037.00",Eaches
Dry Goods,555936,FV CT BRG PR EP 12-SU WHI 12x750ml Eva Pemper 390g LW Burg 2 Col - LCBO,EPWLLWBurg12,Eva Pemper WL 12x750ml LW Burg (LCBO),,"1,375.00",Marlborough,0.00,0.00,"1,375.00",Eaches
Dry Goods,554491,FV CT PBG PR EP 06-SU BLK EPRESPremBurg6 VP146540,,EPRESPremBurg6,,"1,200.00",Marlborough,0.00,0.00,"1,200.00",Eaches
Dry Goods,554490,FV CT PBG PR EP 06-SU WHI EPWLPremB6 VP146541,EPWLPremB6,EP WL Prem Burg 6 x 750ml,,"1,245.00",Marlborough,0.00,0.00,"1,245.00",Eaches
Dry Goods,561241,FV CT PBG PR EP 12-SU BLK VP220063,EPR12x750PB,EPRES - 12 x 750 ml P.Burg,,"1,500.00",Marlborough,0.00,0.00,"1,500.00",Eaches
Dry Goods,554492,FV CT PBG PR EP 12-SU WHI VP148758,,EPWLPremBx12,,800.00,Marlborough,0.00,0.00,800.00,Eaches
Dry Goods,557968,FV LA 22 CHR EP GN Front ML,,EP WL Chard 22 (UK) - Front,,"1,972.00",Marlborough,0.00,0.00,"1,972.00",Eaches
Dry Goods,556416,FV LA 22 CHR EP US Back 13.0% ML 2022 CH USA_90x80_Eva back label TTB,22 CH USA_90x80_EP BL TTB,EP WL Chard 22 TTB Approved - Back,,245.00,Marlborough,0.00,0.00,245.00,Eaches
Dry Goods,539224,FV LA 22 PIN EP GN Front ML FG061837,,,,70.00,Marlborough,0.00,0.00,70.00,Eaches
Dry Goods,558087,FV LA 22 PIN EP UK Back 14.5% ML L3067,,EP WL PN 22 (UK) - Back,,12.00,Marlborough,0.00,0.00,12.00,Eaches
Dry Goods,556419,FV LA 22 PIN EP US Back 14.0% ML 2022 PN USA_90x80_Eva back label,22 PN USA 90x80 EP BL TTB,EP PNoir 22 BL - TTB approved,,91.00,Marlborough,0.00,0.00,91.00,Eaches
Dry Goods,554280,FV LA 23 PIN EP AN Back 14.5% ML FG081639,,EPRESPN23,,60.00,Marlborough,0.00,0.00,60.00,Eaches
Dry Goods,554279,FV LA 23 PIN EP GN Front ML FG081638,,EPRESPN23,,50.00,Marlborough,0.00,0.00,50.00,Eaches
Dry Goods,557971,FV LA 23 PIN EP UK Back 15.0% ML *L43531 Reserve,,EP Res PN 23 (UK) - Back,,10.00,Marlborough,0.00,0.00,10.00,Eaches
Dry Goods,558395,FV LA 24 PIG EP GN Front ML,EP WL PG 24 UK - FL,EP WL PG 24 UK - FL,,180.00,Marlborough,0.00,0.00,180.00,Eaches
Dry Goods,558455,FV LA 24 PIG EP UK Back 13.5% ML FG087694,EP WL PG 24 UK - BL,EP WL PG 24 UK - BL,,180.00,Marlborough,0.00,0.00,180.00,Eaches
Dry Goods,558403,FV LA 24 PIN EP GN Front ML,EP WL PN 24 UK FL,EP WL PN 24 UK FL,,578.00,Marlborough,0.00,0.00,578.00,Eaches
Dry Goods,558404,FV LA 24 PIN EP UK Back 14.5% ML,EP WL PN 24 UK BL,EP WL PN 24 UK BL,,578.00,Marlborough,0.00,0.00,578.00,Eaches
Dry Goods,558246,FV LA 24 PIN GL UK Back 13.0% ML FG087463,GLPN24(UK)-BL,GLPN24(UK)-BL,,130.00,Marlborough,0.00,0.00,130.00,Eaches
Dry Goods,558245,FV LA 24 PIN GL UK Front ML FG087462,GLPN24(UK)-FL,GLPN24(UK)-FL,,120.00,Marlborough,0.00,0.00,120.00,Eaches
Dry Goods,549470,FV LA 24 PRO EP GN Front 13.0% ML FG075820,,,,"5,790.00",Marlborough,0.00,0.00,"5,790.00",Eaches
Dry Goods,549469,FV LA 24 PRO EP NZ Back 13.0% ML 246116,,,,"5,180.00",Marlborough,0.00,0.00,"5,180.00",Eaches
Dry Goods,556418,FV LA 24 PRO EP US Back 13.0% ML 2024 PNR USA_90x80_Eva back label,24 EP PNR US 90x80_BL TTB,24 EP PNR BL USA TTB Approved,,211.00,Marlborough,0.00,0.00,211.00,Eaches
Dry Goods,555161,FV LA 24 SAB 15V CH Back 13.0% ML,15VSB24CHB,15th Valley SB China 24 - Back Lbl,,178.00,Marlborough,0.00,0.00,178.00,Eaches
Dry Goods,555163,FV LA 24 SAB 15V CH Back 13.0% ML *Special Release,15thSRSBCHB,15th Valley SR SB China 24 - Back Lbl,,148.00,Marlborough,0.00,0.00,148.00,Eaches
Dry Goods,555160,FV LA 24 SAB 15V CH Front 13.0% ML,15VSB24CHF,15th Valley SB China - Front Lbl,,158.00,Marlborough,0.00,0.00,158.00,Eaches
Dry Goods,555162,FV LA 24 SAB 15V CH Front ML *Special Release,15thSRSBCHF,15th Valley SR SB China 24 - Front Lbl,,178.00,Marlborough,0.00,0.00,178.00,Eaches
Dry Goods,554285,FV LA 24 SAB EP AN Back 13.0% ML FG081635,,EPWLSB24,,"13,690.00",Marlborough,0.00,0.00,"13,690.00",Eaches
Dry Goods,558398,FV LA 24 SAB EP CA Back 13.0% ML *L50300,EP WL SB 24 LCBO - BL,EP WL SB 24 LCBO - BL,,"9,100.00",Marlborough,0.00,0.00,"9,100.00",Eaches
Dry Goods,559745,FV LA 24 SAB EP CA Back 13.0% ML FG089572 Updated Artwork (Barcode),EPWLSB24LCBOBLUpdated,EPWLSB24LCBOBLUpdated,,510.00,Marlborough,0.00,0.00,510.00,Eaches
Dry Goods,554277,FV LA 24 SAB EP GN Front 13.0% ML FG081636,,EPRESSB24 - Front,,744.00,Marlborough,0.00,0.00,744.00,Eaches
Dry Goods,554281,FV LA 24 SAB EP GN Front ML FG081634,,EPWLSB24,,"13,910.00",Marlborough,0.00,0.00,"13,910.00",Eaches
Dry Goods,557974,FV LA 24 SAB EP UK Back 13.0% ML,,EP Res ASB 24 (UK) - Back,,424.00,Marlborough,0.00,0.00,424.00,Eaches
Dry Goods,557976,FV LA 24 SAB EP UK Back 13.0% ML *L50300,,EP WL SB 24 (UK) - Back,,29.00,Marlborough,0.00,0.00,29.00,Eaches
Dry Goods,561235,FV LA 25 SAB EP ANU Back 12.5% ML FG091461,,EPWLSAB25BNZ,,"7,470.00",Marlborough,0.00,0.00,"7,470.00",Eaches
Dry Goods,558397,FV LA 25 SAB EP GN Front ML 375ml,EP WL SB 25 375 UK - FL,EP WL SB 25 375 UK - FL,,268.00,Marlborough,0.00,0.00,268.00,Eaches
Dry Goods,561234,FV LA 25 SAB EP GN Front ML FG091460,,EPWLSB25FNZ,,"8,610.00",Marlborough,0.00,0.00,"8,610.00",Eaches
Dry Goods,558396,FV LA 25 SAB EP UK Back 12.5% ML 375ml *L5258,EP WL SB 25 375 UK - BL,EP WL SB 25 375 UK - BL,,268.00,Marlborough,0.00,0.00,268.00,Eaches
Dry Goods,562578,FV LA 25 SAB EP US Back 12.5% ML FG092573,,,,"1,010.00",Marlborough,0.00,0.00,"1,010.00",Eaches
Dry Goods,558244,FV LA 25 SAB GL UK Back 12.5% ML FG087443,GLSB25UK-BL,GLSB25UK-BL,,"4,430.00",Marlborough,0.00,0.00,"4,430.00",Eaches
Dry Goods,558243,FV LA 25 SAB GL UK Front 12.5% ML FG087442,GLSB25UK-FL,GLSB25UK-FL,,"4,270.00",Marlborough,0.00,0.00,"4,270.00",Eaches
Dry Goods,557779,FV LA 25 SAB SB CH Back 12.5% ML FG086724,SthBaySB25BK,South Bay SB 25 Back,,296.00,Marlborough,0.00,0.00,296.00,Eaches
Dry Goods,557780,FV LA 25 SAB SB GN Front ML,SthBaySB25FR,South Bay SB 25 Front,,278.00,Marlborough,0.00,0.00,278.00,Eaches
Dry Goods,557818,FV LA 25 SAB SSK CH Back 12.5% ML FG086722,Sunstruck SB 25 BL,Sunstruck SB 25 BL - China,,278.00,Marlborough,0.00,0.00,278.00,Eaches
Dry Goods,557411,FV LA 25 SAB SSK CH Front ML Sunstruck,SSSBCHFL6,Sunstruck SB China Front,,296.00,Marlborough,0.00,0.00,296.00,Eaches
Dry Goods,555101,FV LA GN EP SI Strip NZ *Trident Importer,,Strip Trident Sing 50x12mm,,"3,989.00",Marlborough,0.00,0.00,"3,989.00",Eaches
Dry Goods,554274,FV LA GN MXD EP ANU Strip 13.0% ML SLUSNZ22,,Strip Label - US to NZ - SB22,,"2,500.00",Marlborough,0.00,0.00,"2,500.00",Eaches
Dry Goods,552456,FV LA GN SAB Front NEOCOMO42,,Parliament Wine,,850.00,Marlborough,0.00,0.00,850.00,Eaches
Dry Goods,552457,FV LA GN SAB NZ Back 13.0% ML NEOCOM043,,Parliament Wine,,"1,176.00",Marlborough,0.00,0.00,"1,176.00",Eaches
Finished Goods,744929,FV NV MXD CON 750ml/12p Stock for consol,,,WWML869515-LIB,26.00,Marlborough,0.00,0.00,26.00,Cases
